question,answer
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Zbyt długi czas oczekiwania.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Problemy z dostawą.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Zakupy przebiegły gorzej niż się spodziewałem.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Raczej nie wrócę do tego sklepu.

Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Bardzo dobra jakość sprzętu, ale logistyka do poprawy.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Pozytywne wrażenia mimo opóźnienia.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Zakupy raczej udane.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Jest ok, ale bez zachwytu.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Sprzęt spełnia oczekiwania.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Doświadczenie mogło być lepsze.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Raczej na plus.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Mam neutralne odczucia.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Zadowolenie umiarkowane.
Jak oceniasz ogólną satysfakcję z zakupów w sklepie?,Są plusy i minusy.

Co najbardziej podobało Ci się w naszym sklepie?,Wysoka jakość sprzętu.
Co najbardziej podobało Ci się w naszym sklepie?,Bardzo dobra jakość komputerów.
Co najbardziej podobało Ci się w naszym sklepie?,Sprzęt był zgodny z opisem.
Co najbardziej podobało Ci się w naszym sklepie?,Solidne wykonanie laptopa.
Co najbardziej podobało Ci się w naszym sklepie?,Dobra jakość komponentów.
Co najbardziej podobało Ci się w naszym sklepie?,Komputer działa bez zarzutu.
Co najbardziej podobało Ci się w naszym sklepie?,Profesjonalne złożenie zestawu.
Co najbardziej podobało Ci się w naszym sklepie?,Świetna jakość wykonania sprzętu.
Co najbardziej podobało Ci się w naszym sklepie?,Sprzęt spełnił moje oczekiwania.
Co najbardziej podobało Ci się w naszym sklepie?,Wysoka jakość produktów.

Co najbardziej podobało Ci się w naszym sklepie?,Szeroki wybór komputerów.
Co najbardziej podobało Ci się w naszym sklepie?,Duży wybór sprzętu i akcesoriów.
Co najbardziej podobało Ci się w naszym sklepie?,Bogata oferta laptopów.
Co najbardziej podobało Ci się w naszym sklepie?,Możliwość wyboru konfiguracji.
Co najbardziej podobało Ci się w naszym sklepie?,Dostępność różnych modeli.
Co najbardziej podobało Ci się w naszym sklepie?,Łatwo było znaleźć odpowiedni sprzęt.
Co najbardziej podobało Ci się w naszym sklepie?,Czytelny opis produktów.
Co najbardziej podobało Ci się w naszym sklepie?,Przejrzysta strona sklepu.
Co najbardziej podobało Ci się w naszym sklepie?,Dobre porównanie produktów.
Co najbardziej podobało Ci się w naszym sklepie?,Szczegółowe informacje o sprzęcie.

Co najbardziej podobało Ci się w naszym sklepie?,Sprzęt był dobrze zapakowany.
Co najbardziej podobało Ci się w naszym sklepie?,Solidne zabezpieczenie paczki.
Co najbardziej podobało Ci się w naszym sklepie?,Estetyczne opakowanie zamówienia.
Co najbardziej podobało Ci się w naszym sklepie?,Dbałość o zapakowanie sprzętu.
Co najbardziej podobało Ci się w naszym sklepie?,Bezpieczna wysyłka sprzętu.
Co najbardziej podobało Ci się w naszym sklepie?,Dobry stosunek jakości do ceny.
Co najbardziej podobało Ci się w naszym sklepie?,Atrakcyjne ceny w porównaniu do innych sklepów.
Co najbardziej podobało Ci się w naszym sklepie?,Promocje i rabaty.
Co najbardziej podobało Ci się w naszym sklepie?,Ceny adekwatne do jakości.
Co najbardziej podobało Ci się w naszym sklepie?,Korzystna oferta cenowa.

Co najbardziej podobało Ci się w naszym sklepie?,Bezproblemowy proces zamówienia.
Co najbardziej podobało Ci się w naszym sklepie?,Prosty i szybki zakup.
Co najbardziej podobało Ci się w naszym sklepie?,Intuicyjny proces składania zamówienia.
Co najbardziej podobało Ci się w naszym sklepie?,Łatwość zakupu online.
Co najbardziej podobało Ci się w naszym sklepie?,Sprawny proces zamówienia.
Co najbardziej podobało Ci się w naszym sklepie?,Profesjonalna obsługa.
Co najbardziej podobało Ci się w naszym sklepie?,Miła obsługa klienta.
Co najbardziej podobało Ci się w naszym sklepie?,Pomocna obsługa przy wyborze sprzętu.
Co najbardziej podobało Ci się w naszym sklepie?,Szybka odpowiedź od obsługi.
Co najbardziej podobało Ci się w naszym sklepie?,Kompetentna obsługa sklepu.

Co najbardziej Cię rozczarowało podczas zakupów?,Długi czas dostawy.
Co najbardziej Cię rozczarowało podczas zakupów?,Opóźnienie w realizacji zamówienia.
Co najbardziej Cię rozczarowało podczas zakupów?,Zbyt długie oczekiwanie na paczkę.
Co najbardziej Cię rozczarowało podczas zakupów?,Brak informacji o statusie wysyłki.
Co najbardziej Cię rozczarowało podczas zakupów?,Dostawa trwała kilka dni dłużej niż deklarowano.
Co najbardziej Cię rozczarowało podczas zakupów?,Problemy logistyczne.
Co najbardziej Cię rozczarowało podczas zakupów?,Opóźniona wysyłka zamówienia.
Co najbardziej Cię rozczarowało podczas zakupów?,Czas realizacji był nieakceptowalny.
Co najbardziej Cię rozczarowało podczas zakupów?,Dostawa przyszła z opóźnieniem.
Co najbardziej Cię rozczarowało podczas zakupów?,Zbyt wolna realizacja zamówienia.

Co najbardziej Cię rozczarowało podczas zakupów?,Brak szybkiej odpowiedzi od obsługi klienta.
Co najbardziej Cię rozczarowało podczas zakupów?,Kontakt z obsługą był utrudniony.
Co najbardziej Cię rozczarowało podczas zakupów?,Obsługa klienta mogłaby działać lepiej.
Co najbardziej Cię rozczarowało podczas zakupów?,Długi czas oczekiwania na odpowiedź.
Co najbardziej Cię rozczarowało podczas zakupów?,Słaby kontakt ze sklepem.
Co najbardziej Cię rozczarowało podczas zakupów?,Brak dokładnych informacji o produkcie.
Co najbardziej Cię rozczarowało podczas zakupów?,Opis produktu był mało szczegółowy.
Co najbardziej Cię rozczarowało podczas zakupów?,Niedokładny opis sprzętu.
Co najbardziej Cię rozczarowało podczas zakupów?,Informacje na stronie były niejasne.
Co najbardziej Cię rozczarowało podczas zakupów?,Opis produktu mógłby być lepszy.

Co najbardziej Cię rozczarowało podczas zakupów?,Cena okazała się wyższa niż oczekiwałem.
Co najbardziej Cię rozczarowało podczas zakupów?,Brak atrakcyjnych promocji.
Co najbardziej Cię rozczarowało podczas zakupów?,Koszty dostawy były wysokie.
Co najbardziej Cię rozczarowało podczas zakupów?,Cena nie do końca adekwatna do jakości.
Co najbardziej Cię rozczarowało podczas zakupów?,Dodatkowe koszty pojawiły się przy finalizacji zamówienia.
Co najbardziej Cię rozczarowało podczas zakupów?,Problemy z płatnością.
Co najbardziej Cię rozczarowało podczas zakupów?,Proces zamówienia był skomplikowany.
Co najbardziej Cię rozczarowało podczas zakupów?,Strona działała wolno.
Co najbardziej Cię rozczarowało podczas zakupów?,Błąd podczas składania zamówienia.
Co najbardziej Cię rozczarowało podczas zakupów?,Problemy techniczne strony sklepu.

Co najbardziej Cię rozczarowało podczas zakupów?,Sprzęt dotarł później niż planowano.
Co najbardziej Cię rozczarowało podczas zakupów?,Opóźnienie kuriera.
Co najbardziej Cię rozczarowało podczas zakupów?,Dostawa niezgodna z zapowiedzią.
Co najbardziej Cię rozczarowało podczas zakupów?,Zamówienie przyszło po terminie.
Co najbardziej Cię rozczarowało podczas zakupów?,Czas oczekiwania zdecydowanie za długi.
Co najbardziej Cię rozczarowało podczas zakupów?,Brak aktualnych informacji o zamówieniu.
Co najbardziej Cię rozczarowało podczas zakupów?,Trudności w kontakcie ze sklepem.
Co najbardziej Cię rozczarowało podczas zakupów?,Niejasne informacje o dostawie.
Co najbardziej Cię rozczarowało podczas zakupów?,Proces realizacji zamówienia był chaotyczny.
Co najbardziej Cię rozczarowało podczas zakupów?,Zbyt długi czas realizacji zamówienia.
